run_id,scenario,baseline,seed,mean_fatigue,max_fatigue,mean_rula,workload_gini,energy_kwh,energy_per_unit,co2e_kg,scrap_rate,throughput,downtime_hrs,oee,constraint_violations,runtime_sec,demand,good_units,scrap_units,unfinished,maintenance_events,downtime_share,mean_health_end,hc1_breaches,hc3_breaches,mean_cognitive_load,availability,performance,quality_rate,rest_episodes,rest_minutes,hc1_filtered,hc2_filtered,hc3_filtered,hc4_filtered,machine_utilisation,operator_utilisation,deferral_epochs
S3_B2_s11,S3,B2,11,0.7482,1.0,4.7862,0.0109,122.335,1.3154,40.371,0.1183,93,3.25,0.6547,79,0.0252,94,82,11,1,9,0.0813,0.7162,41,38,0.4948,0.9187,0.8082,0.8817,0,0.0,0,0,0,0,0.5712,0.952,0
S3_B2_s12,S3,B2,12,0.7052,1.0,4.6132,0.0059,112.369,1.1954,37.082,0.0851,94,1.75,0.7216,71,0.0248,94,86,8,0,8,0.0437,0.73,39,32,0.4779,0.9563,0.8248,0.9149,0,0.0,0,0,0,0,0.5536,0.9227,0
S3_B2_s13,S3,B2,13,0.7523,1.0,4.6956,0.0014,119.057,1.2941,39.289,0.1522,92,1.75,0.652,83,0.0244,94,78,14,2,8,0.0437,0.6381,47,36,0.4948,0.9563,0.8042,0.8478,0,0.0,0,0,0,0,0.572,0.9533,0
S3_B2_s14,S3,B2,14,0.6792,1.0,4.4973,0.0088,105.147,1.1186,34.698,0.0745,94,3.25,0.704,66,0.0266,94,87,7,0,8,0.0813,0.7937,33,33,0.4602,0.9187,0.828,0.9255,0,0.0,0,0,0,0,0.5395,0.8991,0
S3_B2_s15,S3,B2,15,0.7493,1.0,4.8849,0.0037,129.23,1.4047,42.646,0.1087,92,3.5,0.6732,89,0.0262,94,82,10,2,9,0.0875,0.7683,45,44,0.5092,0.9125,0.8277,0.8913,0,0.0,0,0,0,0,0.5739,0.9564,0
S3_B2_s16,S3,B2,16,0.7173,1.0,4.5988,0.0089,112.529,1.1971,37.135,0.1277,94,4.5,0.6277,66,0.0248,94,82,12,0,9,0.1125,0.5891,35,31,0.4851,0.8875,0.8107,0.8723,0,0.0,0,0,0,0,0.5602,0.9337,0
S3_B2_s17,S3,B2,17,0.7804,1.0,4.8608,0.0013,125.607,1.4274,41.45,0.1136,88,2.25,0.6806,88,0.0263,94,78,10,6,9,0.0563,0.8636,53,35,0.5034,0.9437,0.8136,0.8864,0,0.0,0,0,0,0,0.5643,0.9406,0
S3_B2_s18,S3,B2,18,0.702,1.0,4.5338,0.0029,110.539,1.176,36.478,0.117,94,2.25,0.6897,67,0.0251,94,83,11,0,9,0.0563,0.8668,36,31,0.4812,0.9437,0.8276,0.883,0,0.0,0,0,0,0,0.5518,0.9196,0
S3_B2_s19,S3,B2,19,0.6838,1.0,4.4106,0.0049,106.601,1.1341,35.178,0.1064,94,2.0,0.6923,53,0.0267,94,84,10,0,8,0.05,0.8006,27,26,0.4578,0.95,0.8154,0.8936,0,0.0,0,0,0,0,0.5478,0.9129,0
S3_B2_s20,S3,B2,20,0.6799,1.0,4.5222,0.0061,104.626,1.113,34.527,0.1064,94,2.0,0.7,61,0.0254,94,84,10,0,8,0.05,0.8289,34,27,0.4593,0.95,0.8246,0.8936,0,0.0,0,0,0,0,0.5397,0.8994,0
S3_B2_s21,S3,B2,21,0.7708,1.0,4.7693,0.0057,124.031,1.4094,40.93,0.1591,88,2.25,0.6219,90,0.0265,94,74,14,6,10,0.0563,0.7338,52,38,0.516,0.9437,0.7836,0.8409,0,0.0,0,0,0,0,0.5711,0.9518,0
S3_B2_s22,S3,B2,22,0.7705,1.0,4.8243,0.0057,127.253,1.4298,41.994,0.1685,89,2.0,0.638,85,0.0284,94,74,15,5,8,0.05,0.6743,49,36,0.5061,0.95,0.8077,0.8315,0,0.0,0,0,0,0,0.5726,0.9543,0
S3_B2_s23,S3,B2,23,0.723,1.0,4.7807,0.0039,118.695,1.2902,39.169,0.087,92,3.5,0.6778,76,0.0259,94,84,8,2,9,0.0875,0.763,41,35,0.4933,0.9125,0.8135,0.913,0,0.0,0,0,0,0,0.5634,0.939,0
S3_B2_s24,S3,B2,24,0.7797,1.0,4.8742,0.0077,129.973,1.5473,42.891,0.119,84,3.25,0.6286,85,0.0267,94,74,10,10,9,0.0813,0.6573,52,33,0.5162,0.9187,0.7767,0.881,0,0.0,0,0,0,0,0.5719,0.9531,0
S3_B2_s25,S3,B2,25,0.7323,1.0,4.6801,0.011,118.161,1.2844,38.993,0.2065,92,2.0,0.5974,71,0.0244,94,73,19,2,8,0.05,0.7535,35,36,0.4896,0.95,0.7926,0.7935,0,0.0,0,0,0,0,0.572,0.9533,0
S3_B2_s26,S3,B2,26,0.7776,1.0,4.8648,0.0037,130.061,1.495,42.92,0.2069,87,2.25,0.5957,86,0.0262,94,69,18,7,10,0.0563,0.7694,52,34,0.5072,0.9437,0.7959,0.7931,0,0.0,0,0,0,0,0.5738,0.9563,0
S3_B2_s27,S3,B2,27,0.7398,1.0,4.7684,0.0063,121.085,1.3306,39.958,0.0879,91,3.25,0.6777,77,0.0247,94,83,8,3,9,0.0813,0.7034,42,35,0.4929,0.9187,0.8087,0.9121,0,0.0,0,0,0,0,0.5647,0.9412,0
S3_B2_s28,S3,B2,28,0.6977,1.0,4.5267,0.0033,110.442,1.1749,36.446,0.1489,94,1.5,0.6767,70,0.0281,94,80,14,0,6,0.0375,0.6142,37,33,0.475,0.9625,0.8261,0.8511,0,0.0,0,0,0,0,0.5477,0.9129,0
